State Code,County Code,Site Number,Address,State,County,City,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Date,Year,Month
6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,Parts per billion,18.173913,32.0,21,30,Parts per million,0.025333,0.039,9,33,Parts per billion,2.090909,3.0,13,4.0,Parts per million,0.520833,0.7,20,8.0,2000-04-06,2000,4
4,19,1011,"1237 S. BEVERLY , TUCSON",Arizona,Pima,Tucson,Parts per billion,19.5,35.0,19,33,Parts per million,0.01175,0.026,9,22,Parts per billion,1.0,1.0,0,1.0,Parts per million,0.304167,0.4,0,5.0,2008-12-27,2008,12
6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,Parts per billion,19.565217,29.0,0,27,Parts per million,0.031542,0.056,10,47,Parts per billion,3.217391,4.0,9,6.0,Parts per million,0.595833,0.7,8,8.0,2002-08-30,2002,8
4,13,3003,2857 N MILLER RD-S SCOTTSDALE STN,Arizona,Maricopa,Scottsdale,Parts per billion,23.583333,51.0,18,48,Parts per million,0.016167,0.041,9,35,Parts per billion,3.041667,7.0,12,10.0,Parts per million,0.40625,0.8,0,9.0,2007-11-18,2007,11
36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,Parts per billion,7.833333,23.0,1,22,Parts per million,0.042958,0.05,8,42,Parts per billion,3.333333,6.0,4,9.0,Parts per million,0.1,0.1,0,1.0,2009-04-30,2009,4
6,13,1004,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,Parts per billion,17.391304,32.0,17,30,Parts per million,0.010667,0.02,9,17,Parts per billion,2.818182,11.0,6,16.0,Parts per million,0.545833,0.9,19,10.0,2003-01-14,2003,1
35,1,23,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,Parts per billion,18.354167,38.6,7,36,Parts per million,0.019875,0.034,10,29,Parts per billion,1.1125,3.7,7,4.0,Parts per million,0.291667,0.5,10,6.0,2012-01-27,2012,1
11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,Parts per billion,7.291667,14.0,10,13,Parts per million,0.040417,0.048,0,41,Parts per billion,3.583333,7.0,10,10.0,Parts per million,1.4,1.5,19,17.0,2007-07-05,2007,7
17,163,10,13TH & TUDOR,Illinois,Saint Clair,East Saint Louis,Parts per billion,14.347826,32.0,0,30,Parts per million,0.017083,0.018,1,15,Parts per billion,0.217391,1.0,0,1.0,Parts per million,0.2875,0.5,0,6.0,2009-03-26,2009,3
36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,Parts per billion,5.916667,15.0,18,14,Parts per million,0.031583,0.034,15,29,Parts per billion,2.416667,4.0,3,6.0,Parts per million,0.020833,0.1,0,1.0,2009-02-28,2009,2
6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,Parts per billion,18.0,33.0,6,31,Parts per million,0.026,0.046,9,39,Parts per billion,1.608696,5.0,7,7.0,Parts per million,0.35,0.5,8,6.0,2012-04-22,2012,4
20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,Parts per billion,22.458333,35.0,17,33,Parts per million,0.011958,0.021,22,18,Parts per billion,2.666667,5.0,17,7.0,Parts per million,1.041667,1.2,19,14.0,2002-10-17,2002,10
17,31,4002,1820 S. 51ST AVE.,Illinois,Cook,Cicero,Parts per billion,20.25,54.0,21,51,Parts per million,0.042583,0.064,10,64,Parts per billion,11.25,49.0,1,67.0,Parts per million,0.091667,0.2,6,2.0,2005-06-24,2005,6
6,37,5005,7201 W. WESTCHESTER PARKWAY,California,Los Angeles,Los Angeles,Parts per billion,30.714286,35.0,8,33,Parts per million,0.029417,0.05,10,42,Parts per billion,4.73913,8.0,8,11.0,Parts per million,0.333333,0.6,7,7.0,2009-04-13,2009,4
42,3,10,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,Parts per billion,6.208333,12.0,5,11,Parts per million,0.037458,0.045,15,38,Parts per billion,7.708333,15.0,23,21.0,Parts per million,0.0625,0.1,0,1.0,2005-06-15,2005,6
6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,Parts per billion,26.826087,46.0,20,43,Parts per million,0.031,0.067,11,74,Parts per billion,2.608696,4.0,10,6.0,Parts per million,1.075,1.3,3,15.0,2008-10-26,2008,10
42,49,3,10TH AND MARNE STREETS,Pennsylvania,Erie,Erie,Parts per billion,3.75,15.0,19,14,Parts per million,0.059542,0.072,11,90,Parts per billion,3.875,5.0,0,7.0,Parts per million,0.120833,0.2,0,2.0,2012-08-25,2012,8
22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,Parts per billion,22.416667,39.0,19,37,Parts per million,0.012333,0.03,8,25,Parts per billion,1.333333,2.0,0,3.0,Parts per million,0.916667,1.1,21,13.0,2002-09-30,2002,9
4,13,3003,2857 N MILLER RD-S SCOTTSDALE STN,Arizona,Maricopa,Scottsdale,Parts per billion,10.086957,23.0,21,22,Parts per million,0.018167,0.033,11,28,Parts per billion,1.173913,2.0,6,3.0,Parts per million,0.091667,0.2,7,2.0,2009-09-15,2009,9
6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,Parts per billion,19.6,22.6,1,21,Parts per million,0.034542,0.071,10,87,Parts per billion,0.459091,1.1,17,1.0,Parts per million,0.441667,0.8,8,9.0,2012-09-04,2012,9
42,49,3,10TH AND MARNE STREETS,Pennsylvania,Erie,Erie,Parts per billion,5.875,12.0,20,11,Parts per million,0.033458,0.048,11,44,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.1125,0.2,9,2.0,2014-08-21,2014,8
6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,Parts per billion,12.173913,18.0,4,17,Parts per million,0.029875,0.048,11,41,Parts per billion,1.818182,5.0,23,7.0,Parts per million,0.375,0.4,4,5.0,2000-04-11,2000,4
37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,Parts per billion,10.875,30.0,22,28,Parts per million,0.018708,0.029,11,25,Parts per billion,0.625,2.0,4,3.0,Parts per million,0.4375,0.5,15,6.0,2004-04-26,2004,4
20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,Parts per billion,11.290909,26.3,21,25,Parts per million,0.024667,0.034,11,29,Parts per billion,1.483333,2.3,19,3.0,Parts per million,0.633333,0.8,21,9.0,2011-05-12,2011,5
26,81,20,1179 MONROE NW,Michigan,Kent,Grand Rapids,Parts per billion,9.363636,13.0,6,12,Parts per million,0.049143,0.053,1,45,Parts per billion,3.090909,7.0,8,10.0,Parts per million,0.255556,0.4,2,5.0,2006-06-17,2006,6
48,309,1037,4472 Mazanec Rd,Texas,McLennan,Waco,Parts per billion,0.7625,1.8,21,1,Parts per million,0.030278,0.041,23,35,Parts per billion,0.004167,0.1,16,0.0,Parts per million,0.1,0.1,0,1.0,2012-03-19,2012,3
36,5,133,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,Parts per billion,15.308696,28.9,20,26,Parts per million,0.017542,0.028,8,24,Parts per billion,1.525,3.3,5,4.0,Parts per million,0.1,0.2,20,2.0,2013-11-04,2013,11
9,9,27,1JAMES STREET,Connecticut,New Haven,New Haven,Parts per billion,3.125,6.0,0,6,Parts per million,0.034917,0.041,12,35,Parts per billion,0.166667,0.5,0,0.0,Parts per million,0.2,0.3,0,3.0,2012-12-30,2012,12
41,51,80,SE LAFAYETTE/5824 SE LAFAYETTE,Oregon,Multnomah,Portland,Parts per billion,4.833333,11.0,23,10,Parts per million,0.016667,0.022,6,19,Parts per billion,1.179167,2.7,21,3.0,Parts per million,0.2,0.2,0,2.0,2010-07-04,2010,7
6,23,1004,717 SOUTH AVENUE,California,Humboldt,Eureka,Parts per billion,4.131579,11.9,17,10,Parts per million,0.007571,0.017,9,16,Parts per billion,1.036842,1.1,4,1.0,Parts per million,0.33125,0.4,0,5.0,2014-11-23,2014,11
25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,Parts per billion,17.5,28.0,18,26,Parts per million,0.005583,0.012,7,10,Parts per billion,3.682609,5.3,1,7.0,Parts per million,0.216667,0.4,23,5.0,2007-12-25,2007,12
29,510,86,"MARGARETTA: 4520 Margaretta, St. Louis, MO 63115",Missouri,St. Louis City,St. Louis,Parts per billion,16.166667,74.0,5,72,Parts per million,0.030417,0.05,9,42,Parts per billion,1.208333,10.0,7,14.0,Parts per million,0.370833,0.6,22,7.0,2006-06-27,2006,6
40,143,1127,3520 1/2 N. PEORIA,Oklahoma,Tulsa,Tulsa,Parts per billion,6.558333,14.4,20,13,Parts per million,0.004958,0.009,8,8,Parts per billion,0.595833,1.5,23,1.0,Parts per million,0.216667,0.4,23,5.0,2011-11-22,2011,11
37,183,14,3801 SPRING FOREST RD.,North Carolina,Wake,Raleigh,Parts per billion,5.056522,18.0,21,17,Parts per million,0.03525,0.043,10,40,Parts per billion,0.1,0.2,9,0.0,Parts per million,0.216667,0.3,20,3.0,2016-03-25,2016,3
36,5,133,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,Parts per billion,12.0125,23.8,20,22,Parts per million,0.033833,0.043,9,36,Parts per billion,2.0,4.8,21,6.0,Parts per million,0.4,0.4,0,5.0,2011-06-30,2011,6
46,99,8,2001 E 8th St,South Dakota,Minnehaha,Sioux Falls,Parts per billion,5.58,10.7,5,9,Parts per million,0.030917,0.045,10,38,Parts per billion,0.263636,0.3,5,0.0,Parts per million,0.216667,0.3,1,3.0,2011-07-29,2011,7
25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,Parts per billion,34.083333,62.0,6,60,Parts per million,0.022375,0.032,10,27,Parts per billion,3.4875,13.6,6,19.0,Parts per million,0.5,0.7,8,8.0,2010-03-19,2010,3
6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,Parts per billion,17.173913,21.0,14,20,Parts per million,0.037042,0.048,10,41,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.145833,0.2,0,2.0,2003-06-20,2003,6
6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,Parts per billion,19.090909,37.0,17,35,Parts per million,0.014833,0.031,9,26,Parts per billion,0.272727,2.0,6,3.0,Parts per million,0.531579,0.9,5,10.0,2010-01-01,2010,1
6,13,1004,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,Parts per billion,7.434783,11.0,13,10,Parts per million,0.028625,0.041,22,35,Parts per billion,1.136364,2.0,0,3.0,Parts per million,0.308333,0.4,12,5.0,2005-05-08,2005,5
40,143,1127,3520 1/2 N. PEORIA,Oklahoma,Tulsa,Tulsa,Parts per billion,4.904167,11.8,21,10,Parts per million,0.015833,0.021,0,19,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.125,0.2,18,2.0,2014-09-06,2014,9
34,7,2,266 Spruce Street,New Jersey,Camden,Camden,Parts per billion,16.166667,42.0,23,40,Parts per million,0.036667,0.051,12,47,Parts per billion,0.541667,6.0,23,9.0,Parts per million,0.254167,0.4,9,5.0,2014-04-11,2014,4
29,510,86,"MARGARETTA: 4520 Margaretta, St. Louis, MO 63115",Missouri,St. Louis City,St. Louis,Parts per billion,16.583333,31.0,6,29,Parts per million,0.035375,0.05,9,42,Parts per billion,7.416667,22.0,3,31.0,Parts per million,0.420833,0.5,0,6.0,2000-05-05,2000,5
6,37,4006,"2425 Webster St., Long Beach, CA",California,Los Angeles,Long Beach,Parts per billion,44.717391,62.8,8,60,Parts per million,0.008708,0.018,23,15,Parts per billion,1.469565,3.5,16,4.0,Parts per million,1.0875,1.5,8,17.0,2012-11-14,2012,11
6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,Parts per billion,30.782609,49.0,20,46,Parts per million,0.0195,0.047,10,40,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.579167,0.7,22,8.0,2000-06-24,2000,6
9,9,27,1JAMES STREET,Connecticut,New Haven,New Haven,Parts per billion,13.45,31.0,22,29,Parts per million,0.025708,0.039,9,33,Parts per billion,1.125,4.0,10,6.0,Parts per million,0.625,0.7,0,8.0,2006-06-06,2006,6
40,143,1127,3520 1/2 N. PEORIA,Oklahoma,Tulsa,Tulsa,Parts per billion,13.333333,27.0,18,25,Parts per million,0.015167,0.029,10,25,Parts per billion,1.15,2.7,17,3.0,Parts per million,0.479167,0.8,1,9.0,2007-11-07,2007,11
42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,Parts per billion,10.666667,24.0,7,23,Parts per million,0.01975,0.026,22,24,Parts per billion,4.083333,7.0,7,10.0,Parts per million,0.0,0.0,0,0.0,2013-01-21,2013,1
40,143,1127,3520 1/2 N. PEORIA,Oklahoma,Tulsa,Tulsa,Parts per billion,11.5375,23.0,19,22,Parts per million,0.021792,0.036,9,31,Parts per billion,0.354167,2.6,9,3.0,Parts per million,0.208333,0.3,19,3.0,2012-04-03,2012,4
9,9,27,1JAMES STREET,Connecticut,New Haven,New Haven,Parts per billion,10.45,28.2,20,26,Parts per million,0.022833,0.035,11,32,Parts per billion,0.1,0.2,13,0.0,Parts per million,0.216667,0.3,20,3.0,2015-06-16,2015,6
6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,Parts per billion,1.73913,7.0,6,7,Parts per million,0.038708,0.043,13,36,Parts per billion,0.26087,1.0,2,1.0,Parts per million,0.3,0.3,0,3.0,2011-04-06,2011,4
9,9,27,1JAMES STREET,Connecticut,New Haven,New Haven,Parts per billion,13.652174,24.0,5,23,Parts per million,0.04275,0.075,12,115,Parts per billion,0.713043,1.3,10,1.0,Parts per million,0.275,0.3,6,3.0,2014-08-27,2014,8
42,125,5,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,Parts per billion,14.0,24.0,0,23,Parts per million,0.025583,0.031,1,26,Parts per billion,9.458333,40.0,12,56.0,Parts per million,0.079167,0.2,13,2.0,2006-10-17,2006,10
6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,Parts per billion,11.272727,42.0,19,40,Parts per million,0.038667,0.049,10,42,Parts per billion,1.142857,2.0,19,3.0,Parts per million,0.6125,0.9,21,10.0,2000-03-31,2000,3
39,35,60,E. 14TH & ORANGE,Ohio,Cuyahoga,Cleveland,Parts per billion,9.043478,18.0,3,17,Parts per million,0.044875,0.061,10,54,Parts per billion,2.904762,13.0,9,19.0,Parts per million,0.254167,0.3,3,3.0,2012-06-16,2012,6
48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,Parts per billion,13.970833,35.0,8,33,Parts per million,0.048542,0.073,10,108,Parts per billion,0.775,2.7,11,3.0,Parts per million,0.241667,0.3,6,3.0,2015-08-27,2015,8
6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,Parts per billion,6.173913,18.0,21,17,Parts per million,0.030583,0.044,10,37,Parts per billion,2.0,6.0,22,9.0,Parts per million,0.2,0.2,0,2.0,2003-09-17,2003,9
34,13,3,360 Clinton Avenue,New Jersey,Essex,Newark,Parts per billion,20.304348,59.0,7,56,Parts per million,0.029583,0.044,9,41,Parts per billion,0.808333,3.4,7,4.0,Parts per million,0.241667,0.3,0,3.0,2014-08-21,2014,8
48,141,37,250 Rim Rd,Texas,El Paso,El Paso,Parts per billion,6.378261,25.3,20,24,Parts per million,0.040542,0.052,11,48,Parts per billion,0.166667,0.4,21,0.0,Parts per million,0.025,0.1,18,1.0,2014-05-14,2014,5
18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),Parts per billion,23.142857,60.1,20,57,Parts per million,0.03175,0.061,10,54,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.576471,0.8,23,9.0,2008-09-24,2008,9
6,37,31,"1115 N. MAHAR AVENUE WILMINGTON, CA",California,Los Angeles,West Los Angeles,Parts per billion,20.0,37.0,7,35,Parts per million,0.015792,0.028,10,24,Parts per billion,1.956522,6.0,21,9.0,Parts per million,0.375,0.7,8,8.0,2001-10-29,2001,10
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,Parts per billion,8.791667,31.0,5,29,Parts per million,0.046,0.062,9,58,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.258333,0.3,0,3.0,2008-07-04,2008,7
6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,Parts per billion,54.391304,78.0,13,77,Parts per million,0.001208,0.004,8,3,Parts per billion,3.434783,5.0,0,7.0,Parts per million,2.725,3.9,0,44.0,2002-01-08,2002,1
6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,Parts per billion,12.521739,29.0,18,27,Parts per million,0.015042,0.029,9,25,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.345833,0.7,23,8.0,2003-12-27,2003,12
4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,Parts per billion,16.241667,37.0,0,35,Parts per million,0.037208,0.055,9,47,Parts per billion,2.375,3.0,9,4.0,Parts per million,0.683333,1.1,1,13.0,2005-04-18,2005,4
6,1,11,1100 21st Street,California,Alameda,Oakland,Parts per billion,5.347826,11.1,6,10,Parts per million,0.03325,0.039,12,33,Parts per billion,0.972727,1.5,16,1.0,Parts per million,0.0,0.0,0,0.0,2011-04-24,2011,4
6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,Parts per billion,32.652174,44.0,9,42,Parts per million,0.020167,0.046,10,39,Parts per billion,0.478261,2.0,5,3.0,Parts per million,0.704167,0.8,10,9.0,2000-07-29,2000,7
48,201,1035,9525 1/2 Clinton Dr,Texas,Harris,Houston,Parts per billion,12.886364,24.3,20,23,Parts per million,0.012333,0.019,11,18,Parts per billion,0.091667,3.0,14,4.0,Parts per million,0.245833,0.3,0,3.0,2014-02-09,2014,2
6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,Parts per billion,15.922727,32.7,23,30,Parts per million,0.017125,0.033,10,28,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.495833,0.8,7,9.0,2011-12-20,2011,12
6,85,5,158B JACKSON ST,California,Santa Clara,San Jose,Parts per billion,2.527273,7.3,1,7,Parts per million,0.033708,0.039,11,36,Parts per billion,0.1,0.1,0,0.0,Parts per million,0.2,0.2,0,2.0,2014-04-27,2014,4
6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,Parts per billion,38.826087,57.0,0,54,Parts per million,0.026625,0.052,9,44,Parts per billion,1.913043,3.0,0,4.0,Parts per million,0.6125,0.7,0,8.0,2002-05-24,2002,5
17,31,8003,1703 STATE ST.,Illinois,Cook,Calumet City (PU RR name Calumet Park (sta.)),Parts per billion,8.041667,11.0,21,10,Parts per million,0.0505,0.061,11,54,Parts per billion,2.958333,8.0,10,11.0,Parts per million,0.2,0.2,0,2.0,2000-10-01,2000,10
12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,Parts per billion,3.875,10.0,8,9,Parts per million,0.02725,0.036,10,33,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.1,0.1,0,1.0,2013-06-17,2013,6
12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,Parts per billion,7.458333,30.0,19,28,Parts per million,0.021625,0.035,10,30,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.320833,0.4,19,5.0,2011-12-21,2011,12
6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,Parts per billion,4.826087,11.0,22,10,Parts per million,0.022375,0.031,10,26,Parts per billion,2.681818,4.0,5,6.0,Parts per million,0.3,0.3,0,3.0,2003-03-10,2003,3
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,Parts per billion,4.470833,8.8,16,8,Parts per million,0.024708,0.034,20,31,Parts per billion,1.016667,1.7,8,1.0,Parts per million,0.3875,0.4,0,5.0,2014-02-02,2014,2
6,19,244,MOBILE,California,Fresno,Fresno,Parts per billion,21.714286,34.0,5,32,Parts per million,0.021,0.022,0,19,Parts per billion,1.0,1.0,0,1.0,Parts per million,1.0,1.0,1,11.0,2003-08-14,2003,8
21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),Parts per billion,17.0,30.0,21,28,Parts per million,0.027,0.039,9,33,Parts per billion,3.375,5.0,8,7.0,Parts per million,0.0625,0.3,0,3.0,2003-04-24,2003,4
6,71,2002,"14360 ARROW BLVD., FONTANA",California,San Bernardino,Fontana,Parts per billion,32.46087,52.5,8,49,Parts per million,0.024958,0.05,10,42,Parts per billion,0.352174,1.9,7,1.0,Parts per million,0.5125,0.7,6,8.0,2012-03-22,2012,3
6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,Parts per billion,30.047619,42.0,18,40,Parts per million,0.008762,0.019,7,16,Parts per billion,2.571429,5.0,12,7.0,Parts per million,1.242857,1.9,23,22.0,2006-12-29,2006,12
